train,valid,phys,data
4.962056557337443,8.290753682454428,5.7796510299046835,0.3290202216555675
4.978689875205358,2.9122630953788757,5.786208399136862,0.4027503836899996
3.9813562840223313,3.1517268578211466,4.6298229416211445,0.3067109871034821
4.8332440515359245,4.480347410837809,5.609850702683131,0.4324720447262128
4.720192229747772,4.0312376340230305,5.494078265627225,0.33483720738440753
4.121546894311905,3.5170323689778646,4.791710031032562,0.32395510245114567
4.685000950098038,4.103884506225586,5.435718677441279,0.43093285051484903
4.80925705631574,3.3388433615366617,5.5968811770280205,0.34605282718936603
4.7684332698583605,2.809155321121216,5.554016045729319,0.3167967120185494
3.9680248578389485,5.901555132865906,4.608523706595103,0.33853046062091985
4.416576258341471,2.7394856135050456,5.126542691389719,0.39343191049993037
5.362732627987862,2.536417806148529,6.226868849992752,0.4659596943606933
3.4529832581679027,4.519303830464681,4.014691382646561,0.2699697487677137
4.665576392412186,2.5970584909121195,5.420537692308426,0.3874613902842005
3.398584957917531,2.5207308689753214,3.957720704873403,0.23014834082374971
4.161441479126612,3.7362804969151813,4.8240237156550085,0.40680812460680804
4.628091808160146,3.2922103007634482,5.39163409670194,0.30135133657604457
3.959408382574717,2.6110745032628375,4.603032600879669,0.3122036267692844
3.6740282932917276,4.636866283416748,4.2743553201357525,0.2721745030333598
4.804677349328995,2.3858412822087605,5.572964411973953,0.4510495647167166
3.6892836560805637,2.846132779121399,4.295017824570338,0.25678922335306803
4.38413053949674,4.073389569918315,5.107971771558126,0.2823626062522332
4.8382105509440105,2.2796633799870807,5.629803609848023,0.3525158418963353
3.7456927339235944,3.9640851895014446,4.349021732807159,0.32682775631546973
4.297038421034813,5.4000909169514975,4.991283735136191,0.3629811154678464
3.4848859588305157,3.324990232785543,4.041674592097601,0.32974962300310534
4.3835211277008055,2.932176947593689,5.061888962984085,0.5394362051660816
5.534479540586472,8.495490550994873,6.419330269098282,0.5203240806236863
4.202354166905085,4.920953369140625,4.9009408235549925,0.24369563963264226
5.1526822725931805,5.928753280639649,5.963216865062714,0.5596517777691284
5.277474939823151,4.96089764436086,6.109978942076365,0.559951047723492
4.14447009464105,2.3716501633326215,4.8187636176745094,0.3234729764983058
3.78084566394488,2.562848711013794,4.392968887090683,0.312146528189381
4.402225128809611,3.566678786277771,5.110691763957342,0.38757977429777385
3.621437694629033,5.470369148254394,4.216132159034411,0.251501718784372
