DEPTH:1,Rv,Rh,Csh_pred,Rss_pred,fun,nfev,jac_norm,Rv_sim,Rh_sim
9740.5,6.2515,1.2682,0.5817227087688346,11.033634509955235,0.00011145575985738195,123,1.3731979791860225,6.251504735025514,1.2681998721630483
9740.75,6.177,1.2483,0.5922850450892765,11.063869234143782,0.00011154134300587831,120,0.06040921776176667,6.177002777773208,1.2482995104598353
9741.0,6.1474,1.2365,0.5988208069848391,11.124505985606756,0.00011223081272222193,132,0.17755633500311863,6.147403264046398,1.2364994944000445
9741.25,6.1673,1.2304,0.6024965555383841,11.251410815588946,0.00011337221379277348,123,2.4836601133665623,6.16729736497876,1.2303995515209452
9741.5,6.2514,1.2281,0.5080000272196786,10.499079619449999,0.18531748844624377,90,2.276673700073473,6.594550963556783,1.4238013807279977
9741.75,6.4281,1.2284,0.6053579536726094,11.973459113525525,0.0001205517978589345,150,2.61409711844322,6.428102329860108,1.2284004625785612
9742.0,6.7382,1.2305,0.6059148625649106,12.773276431737946,0.00012852779759658516,138,2.542985477889155,6.738196906492931,1.2304997425649489
9742.25,7.2309,1.2341,0.6062419404089394,14.032828752513524,0.0001411059741474814,135,2.739638101923919,7.230897998533715,1.2340994872715378
9742.5,7.9543,1.2389,0.6063342630460336,15.873056211368162,0.0001593943726034839,123,2.2816157492469236,7.954296653108474,1.2388999682162658
9742.75,8.9372,1.2445,0.6061151174648298,18.361201971978776,0.00018454008658719815,138,1.2757655874073135,8.937201707365961,1.2444992462638669
9743.0,10.1565,1.2501,0.6056948334283031,21.43690213243668,0.00021532380627051407,135,2.2865201687272996,10.156500832545426,1.2501008246077925
9743.25,11.4997,1.2552,0.6050954058306437,24.80995304589727,0.0002487593033811086,132,0.7404873628168457,11.499697815552448,1.2552005313867043
9743.5,12.7577,1.2594,0.6044035459546223,27.9514955987493,0.00028019218923512195,144,1.7694391592400116,12.757699718900557,1.2594006305034684
9743.75,13.6859,1.2628,0.6035545582819912,30.23895237637187,0.00030345449803250454,144,0.21048991889108848,13.685893804387819,1.262800858069082
9744.0,14.1046,1.2659,0.602337768192811,31.207946018077283,0.00031302588662932614,144,2.5320148408380314,14.104597605593266,1.265899119155778
9744.25,13.957,1.2693,0.600489399137972,30.707128772377118,0.0003078007830093511,138,1.9620131853162552,13.957000146375169,1.2693006933502184
9744.5,13.3056,1.2739,0.5975710949515919,28.886195286650835,0.00028960472659637915,147,2.185285688617444,13.305607430320212,1.2738999431060958
9744.75,12.3061,1.28,0.5934248950861365,26.161957515538948,0.0002623099632263821,141,0.5575432652514072,12.30610485150959,1.279999605199958
9745.0,11.1652,1.2876,0.5880680448179173,23.08869403276803,0.00023168530842343726,135,2.010988077929862,11.165206285591822,1.287599910726208
9745.25,10.0745,1.2961,0.5818911115873492,20.180478811003393,0.00020251182249163098,132,2.9005278619492354,10.074497260198894,1.2960994668399113
9745.5,9.1576,1.3044,0.5756277129254302,17.763545008508157,0.00017864068994107542,126,0.8296904191088071,9.157596978271899,1.3044008470187782
9745.75,8.4615,1.3111,0.5702329820515971,15.956164482136316,0.00016035436848237239,135,2.554796023007318,8.46149860589309,1.3110993197685221
9746.0,7.9785,1.3148,0.5666472097154751,14.732843838585694,0.0001479503361233691,129,0.19458216827305122,7.978497587206912,1.314800341583764
9746.25,7.6732,1.3145,0.5655251673200347,13.999378791690713,0.00014068903629617098,135,2.0596919595494225,7.6732000538145355,1.3145005936844805
9746.5,7.501,1.3098,0.5671011624645493,13.642311416919117,0.00013723319696705162,141,2.547602943725515,7.50099632369367,1.3097997086142765
