DEPTH:1,CALI,AT10,AT30,AT60,AT90,GR,Rv,Rh,Csh_pred,Rss_pred,Rvsh,Rhsh,Rv_sim,Rh_sim,Rv_err,Rh_err
10056.0,12.4898,0.4717,0.3715,0.351,0.3487,28.7207,0.3087,0.2978,0.738625,-0.89145255,0.775,0.775,1.8447487,1.5154654,497.5862440647414,408.8869639896882
10056.25,12.4789,0.4967,0.3916,0.3681,0.3658,27.7295,0.3067,0.2992,0.7383465,-0.8895718,0.775,0.775,1.8442091,1.5184392,501.3071649736094,407.49972382968764
10056.5,12.468,0.5217,0.4117,0.3852,0.3829,26.7384,0.3061,0.3009,0.7383094,-0.8893144,0.775,0.775,1.844139,1.5188422,502.4629140515532,404.7664407797928
10056.75,12.5117,0.556,0.4338,0.4069,0.4018,26.9897,0.3079,0.3034,0.7386965,-0.89190936,0.775,0.775,1.8448943,1.5147249,499.18619355972646,399.25011557501716
10057.0,12.5553,0.5904,0.4559,0.4286,0.4207,27.241,0.3137,0.3078,0.7398089,-0.8993934,0.775,0.775,1.8470682,1.5030905,488.8008258127658,388.33349604665494
10057.25,12.5989,0.6098,0.4685,0.4449,0.4309,28.8926,0.3257,0.3154,0.7420467,-0.9145169,0.775,0.775,1.8514746,1.4805721,468.4601297984652,369.4267927882183
10057.5,12.6425,0.6292,0.481,0.4611,0.4411,30.5443,0.3472,0.3282,0.74599534,-0.94141763,0.775,0.775,1.8593603,1.4434935,435.53005105339435,339.82129355598556
10057.75,12.6915,0.6482,0.4922,0.4764,0.4515,31.9548,0.3826,0.3481,0.7523683,-0.98542833,0.775,0.775,1.8723886,1.3898457,389.38541591821763,299.2662248992262
10058.0,12.7406,0.6672,0.5035,0.4917,0.4619,33.3654,0.4375,0.3764,0.76195014,-1.0530672,0.775,0.775,1.8926831,1.320816,332.6132910592215,250.90755580208884
10058.25,12.8006,0.6984,0.5336,0.5225,0.4837,36.8373,0.5179,0.4138,0.7753841,-1.1511533,0.775,0.775,1.9225881,1.2416604,271.2276713593537,200.06291844408085
10058.5,12.8606,0.7296,0.5637,0.5532,0.5055,40.3093,0.628,0.4588,0.79270005,-1.2839813,0.775,0.775,1.963696,1.1609172,212.6904463312428,153.03338336861435
