DEPTH:1,Rvsh,Rhsh
9747.5,7.4137487,1.25159
9747.75,7.389695,1.236724
9748.0,7.3214474,1.2224637
9748.25,7.1943674,1.208307
9748.5,7.0128675,1.1937519
9748.75,6.8085175,1.1791977
9749.0,6.6348357,1.1666507
9749.25,6.549749,1.1591215
9749.5,6.5970516,1.1589177
9749.75,6.7941866,1.1669432
9750.0,7.1256175,1.1815906
9750.25,7.5409336,1.1995485
9750.5,7.9647665,1.217003
9750.75,8.323556,1.2309461
9751.0,8.576114,1.2404747
9751.25,8.720632,1.2458909
9751.5,8.776656,1.248198
9751.75,8.759018,1.248199
9752.0,8.665009,1.2460952
9752.25,8.476793,1.2413845
9752.5,8.178838,1.2337663
9752.75,7.778555,1.2228403
9753.0,7.3153334,1.2091038
9753.25,6.8482046,1.1939616
9753.5,6.431587,1.1790179
9753.75,6.0982523,1.1661788
9754.0,5.8567195,1.1562476
9754.25,5.6979694,1.1494257
9754.5,5.604063,1.1453124
9754.75,5.555857,1.1433061
9755.0,5.538819,1.1429051
9755.25,5.5459347,1.1441102
9755.5,5.5786066,1.1473227
9755.75,5.645354,1.1534469
9756.0,5.758102,1.1636868
9756.25,5.9276752,1.1786447
9756.5,6.158082,1.1982198
9756.75,6.442508,1.2213082
9757.0,6.7645173,1.2455994
9757.25,7.1083746,1.2691866
9757.5,7.4758835,1.2910645
9757.75,7.900419,1.3118342
9758.0,8.44963,1.3338026
9758.25,9.213914,1.3595757
9758.5,10.285476,1.3908564
9758.75,11.717934,1.4284457
9759.0,13.441333,1.4715432
9759.25,15.1361685,1.5193639
9759.5,16.219555,1.5713373
9759.75,16.198305,1.6271895
9760.0,15.151592,1.686014
9760.25,13.638249,1.7453669
9760.5,12.187448,1.7999941
9760.75,11.057453,1.8429515
9761.0,10.301284,1.8669021
9761.25,9.884063,1.8661219
9761.5,9.749768,1.8383048
9761.75,9.844381,1.786365
9762.0,10.116786,1.7178406
9762.25,10.512261,1.6433823
9762.5,10.966867,1.5727386
9762.75,11.411853,1.5124416
9763.0,11.789187,1.4642031
9763.25,12.0688095,1.4259145
9763.5,12.252713,1.3933576
9763.75,12.364062,1.3626121
9764.0,12.430209,1.3316693
9764.25,12.472104,1.3008276
9764.5,12.500466,1.2721974
9764.75,12.517005,1.2479875
9765.0,12.512696,1.2296045
9765.25,12.459282,1.2167494
9765.5,12.290006,1.2082206
9765.75,11.881307,1.2020153
9766.0,11.074427,1.1956321
9766.25,9.791596,1.1867639
9766.5,8.176637,1.1734953
9766.75,6.5478435,1.1551034
9767.0,5.173614,1.1325793
9767.25,4.147853,1.1079254
9767.5,3.4391918,1.0843593
9767.75,2.975971,1.0641941
9768.0,2.6918452,1.049042
9768.25,2.5395095,1.0393066
9768.5,2.4915037,1.0345879
9768.75,2.538708,1.0341834
9769.0,2.689942,1.0374899
9769.25,2.9722648,1.0440035
9769.5,3.4321778,1.0530182
