DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err
8812.75,4.3645,7.9468,6.211,9.7373,12.5248,23.2009,10.814,2.9911,2.78,0.58,AkerBP,2.0,0.17517625,11.355728,9.853464120924473,2.669064886224964,8.882336592153942,10.766444243757672
8813.0,4.3634,12.8318,8.0961,14.885,16.5534,22.271,11.0074,3.0633,2.78,0.58,AkerBP,2.0,0.17037319,11.495988,10.01101672321558,2.7328862509687006,9.051940301837135,10.786202756220392
8813.25,4.3623,23.0324,10.0074,14.6817,24.6249,22.7621,11.1932,3.1687,2.78,0.58,AkerBP,2.0,0.16344033,11.584686,10.145645441114903,2.824809162037425,9.358847861961694,10.852742069699717
8813.5,4.3612,24.0149,10.6434,15.1768,36.5988,23.2533,11.5493,3.3972,2.78,0.58,AkerBP,2.0,0.14993292,11.724656,10.383557943105698,3.0210791054412836,10.093616555932416,11.071496955101749
8813.75,4.3601,30.9806,8.4423,17.2059,17.9833,23.7652,12.0371,3.7424,2.78,0.58,AkerBP,2.0,0.13293396,11.88559,10.675147036612033,3.3096416456006805,11.31462697317433,11.563658465137864
8814.0,4.3589,33.738,8.0053,10.5723,15.0062,24.2772,12.4454,4.0632,2.78,0.58,AkerBP,2.0,0.1198723,11.99422,10.889690120816232,3.570718280591672,12.500280257635495,12.12053847726738
8814.25,4.3578,22.7857,7.2429,7.1888,8.7086,25.8287,12.6395,4.2278,2.78,0.58,AkerBP,2.0,0.11393856,12.038501,10.983600247651339,3.703043994065728,13.10099095967927,12.412034768302005
8814.5,4.3567,20.8241,6.8155,5.7761,8.7045,27.3803,12.6464,4.238,2.78,0.58,AkerBP,2.0,0.11356512,12.035754,10.984623913168907,3.711235275496449,13.140309391060642,12.429559332315982
8814.75,4.3556,12.9668,4.9908,5.5525,5.7704,29.9074,12.4766,4.1073,2.78,0.58,AkerBP,2.0,0.11814739,11.982598,10.895335687100888,3.6062438058183273,12.673839931544748,12.199162325169164
8815.0,4.3545,8.9965,4.3283,4.1888,4.2463,32.4346,12.1127,3.8406,2.78,0.58,AkerBP,2.0,0.12848063,11.862079,10.695207915008067,3.3899525605367704,11.70252780133193,11.733777000032012
8815.25,4.3534,6.2036,3.8109,3.2102,3.1366,33.4179,11.6726,3.5423,2.78,0.58,AkerBP,2.0,0.14200039,11.69713,10.430894856154918,3.14287948775289,10.637776877859958,11.275739272424982
8815.5,4.3523,3.2246,2.7052,2.6903,2.5161,34.4013,11.3354,3.3245,2.78,0.58,AkerBP,2.0,0.1536039,11.561623,10.212731074392796,2.95821506988745,9.904096243689716,11.017744927434197
8815.75,4.3512,2.3845,1.8486,2.2846,2.0494,33.3594,11.0942,3.1478,2.78,0.58,AkerBP,2.0,0.16452898,11.492864,10.059345026910306,2.8061084026940692,9.32789180914077,10.854933518836358
8816.0,4.3501,1.6989,1.5205,1.5252,1.4298,32.3176,10.7319,2.8492,2.78,0.58,AkerBP,2.0,0.18664673,11.444328,9.827159807085991,2.54533799559858,8.43038225210828,10.664818349060093
8816.25,4.349,1.6825,1.4791,1.515,1.429,31.4503,10.1024,2.3981,2.78,0.58,AkerBP,2.0,0.23008731,11.308264,9.346018797755242,2.1515262500866386,7.487143671253932,10.28204619963143
8816.5,4.3479,1.7812,1.5979,1.6298,1.5233,30.583,9.3991,1.9949,2.78,0.58,AkerBP,2.0,0.28022152,11.021438,8.712009242773057,1.8233279530683653,7.310176051185153,8.600533707535948
8816.75,4.3468,2.0216,1.9486,1.9532,1.7794,31.4189,8.9031,1.7643,2.78,0.58,AkerBP,2.0,0.31368497,10.717596,8.227691780924797,1.6532411286597994,7.586214004955615,6.29478384289523
8817.0,4.3457,2.7157,2.1471,2.2931,1.8545,32.2548,8.6164,1.6747,2.78,0.58,AkerBP,2.0,0.3278126,10.467663,7.947550102472305,1.5887900714818892,7.762521441990803,5.129869738944937
8817.25,4.3446,4.8359,3.6796,3.2466,2.6762,36.0863,8.3055,1.6566,2.78,0.58,AkerBP,2.0,0.33096257,10.07977,7.6638198369741435,1.5698601970613681,7.72596668503831,5.23601369906024
8817.5,4.3435,5.8615,2.7598,2.8496,2.4248,39.9177,7.8071,1.6661,2.78,0.58,AkerBP,2.0,0.32983553,9.399222,7.215967843532562,1.5625440739012268,7.571725179227089,6.215468825326996
8817.75,4.3424,5.7988,2.3193,2.4182,2.1101,46.8841,7.2564,1.6835,2.78,0.58,AkerBP,2.0,0.32755092,8.631232,6.71465582549572,1.556052633918161,7.4657429924519025,7.570381115642348
8818.0,4.3413,4.7643,1.8712,1.9018,1.7107,53.8504,6.871,1.697,2.78,0.58,AkerBP,2.0,0.32569265,8.087609,6.358959703445435,1.5505933268100744,7.452194681335548,8.627382038298503
8818.25,4.3402,2.9196,1.6208,1.5489,1.4187,60.4175,6.631,1.6968,2.78,0.58,AkerBP,2.0,0.3262041,7.7584195,6.134438888430595,1.540196257915179,7.488480041764515,9.229357737200683
8818.5,4.3391,1.9687,1.2759,1.3329,1.3713,66.9847,6.1871,1.6593,2.78,0.58,AkerBP,2.0,0.33515045,7.1890984,5.711387060284615,1.4918118051464384,7.688786987690278,10.093906759088869
8818.75,4.338,1.5346,0.9501,1.0398,0.8712,70.6997,5.1022,1.5353,2.78,0.58,AkerBP,2.0,0.36535996,5.820417,4.709570285081863,1.3532388649339453,7.695302318963125,11.858342673487579
8819.0,4.3369,1.4417,0.8896,0.9355,0.8771,74.4147,3.7259,1.3251,2.78,0.58,AkerBP,2.0,0.40066707,3.9254992,3.4665353798866274,1.1855615286051944,6.961126710683936,10.53041064031436
8819.25,4.3358,1.244,0.8738,0.8732,0.8954,72.6189,2.7674,1.127,2.78,0.58,AkerBP,2.0,0.4046436,2.2530417,2.466272028684616,1.0396015411134336,10.881259352293988,7.754965296057355
8819.5,4.3347,1.1052,0.8987,0.8751,0.9251,70.823,2.3045,1.0093,2.78,0.58,AkerBP,2.0,0.39950982,1.4355619,1.9726781696081161,0.9032556252856767,14.398864412752607,10.506724929587175
8819.75,4.3336,1.0602,0.9478,0.943,1.0176,66.937,2.1276,0.9606,2.78,0.58,AkerBP,2.0,0.39759308,1.1654963,1.8074118435382842,0.8316889511574497,15.049264733113176,13.419846850150982
8820.0,4.3325,1.0065,0.9625,0.8958,1.0122,63.051,2.0379,0.9406,2.78,0.58,AkerBP,2.0,0.39478293,1.0573715,1.737435855269432,0.798059694053264,14.743811999144613,15.15418944787752
8820.25,4.3314,1.0117,1.1613,0.9477,1.3117,56.4679,1.8852,0.9141,2.78,0.58,AkerBP,2.0,0.38808873,0.93409383,1.650469233393669,0.7551706822349755,12.4512394762535,17.386425748279674
8820.5,4.3303,1.0188,1.1866,0.9492,1.4944,49.8848,1.6361,0.8663,2.78,0.58,AkerBP,2.0,0.3824844,0.83227265,1.5772479373216628,0.7135624874467502,3.5970944733413184,17.631018417782496
8820.75,4.3292,0.9625,1.0675,0.9055,1.3103,45.1069,1.3993,0.812,2.78,0.58,AkerBP,2.0,0.36441913,0.7378544,1.4820513743162154,0.6712763214522911,5.913769335826155,17.33050228420061
8821.0,4.3281,0.8404,0.8816,0.8044,0.9971,40.329,1.2573,0.774,2.78,0.58,AkerBP,2.0,0.32436454,0.67079705,1.3549476873874664,0.6383812330003547,7.766458871189558,17.521804521918007
