DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q
7896.25,8.3831,5.4584,4.861,4.5907,4.8652,5.2759,5.9324,4.0844,2.78,0.58,AkerBP,2.0,0.08615905,6.153241,6.01601374939084,4.423907557649974,1.409442205361064,8.312299423415299,0.3490534665487905,2.296778829407064
7896.5,8.3775,5.9115,5.1718,4.9441,5.2201,5.0929,5.9671,4.1006,2.78,0.58,AkerBP,2.0,0.08617917,6.1835556,6.045062768757344,4.438625146142654,1.3065436938771502,8.243309421612778,0.3505691464329362,2.3118710480360765
7896.75,8.3739,6.1698,5.2165,4.8815,5.1459,4.6561,6.055,4.2491,2.78,0.58,AkerBP,2.0,0.07577045,6.2564216,6.132002823352813,4.633465960870409,1.2717229290307799,9.045820547184318,0.35371809416680666,2.349801930322418
7897.0,8.3732,6.4418,5.3009,4.9334,5.2123,4.2193,6.2458,4.6132,2.78,0.58,AkerBP,2.0,0.054981332,6.4067817,6.312484594210982,5.0798962700505825,1.067670982275804,10.116541013842507,0.36015354018331125,2.432239630716997
7897.25,8.3752,6.5495,5.51,5.0742,5.3414,3.7246,6.5086,5.1844,2.78,0.58,AkerBP,2.0,0.03334077,6.592028,6.531758777201175,5.663828373750388,0.35581810529414903,9.247518975202288,0.3683875518618846,2.546102485446473
7897.5,8.3706,6.346,5.3924,4.91,5.0949,3.23,6.727,5.735,2.78,0.58,AkerBP,2.0,0.020729905,6.722281,6.683362500667572,6.086008918054231,0.6486918289345655,6.120469364502721,0.37473486847839593,2.6409833362126007
7897.75,8.3714,6.3517,5.278,4.9368,5.094,3.3244,6.8232,6.0213,2.78,0.58,AkerBP,2.0,0.016225984,6.773087,6.742135359663516,6.255354943714921,1.1880736360722808,3.8871164651308,0.37735788962466066,2.6828140914288623
7898.0,8.3767,6.2826,5.3343,5.081,5.2049,3.4188,6.8088,6.0497,2.78,0.58,AkerBP,2.0,0.015587301,6.7607493,6.731090694749728,6.2634527401960165,1.1413069153194653,3.5332783476208225,0.37679000822804415,2.67642445470587
7898.25,8.379,6.274,5.3278,4.9901,5.145,3.5364,6.718,5.9335,2.78,0.58,AkerBP,2.0,0.01657525,6.7023525,6.6713044533133505,6.185509978534421,0.6950810760144305,4.24723988429124,0.37388630424777686,2.6366641389191976
7898.5,8.376,6.4181,5.4274,5.1696,5.3052,3.654,6.5989,5.7733,2.78,0.58,AkerBP,2.0,0.018164,6.6266475,6.593320840541273,6.077692489392492,0.08454681020665734,5.27241767087267,0.3699737154878975,2.584588526914393
7898.75,8.3785,6.5122,5.5332,5.3097,5.3462,3.7438,6.5086,5.6534,2.78,0.58,AkerBP,2.0,0.019476196,6.5690937,6.533924241941422,5.99455517234692,0.3890889275945965,6.034513254800995,0.3669055309420935,2.5451529344624784
7899.0,8.3816,6.589,5.66,5.5285,5.4585,3.8336,6.4663,5.5983,2.78,0.58,AkerBP,2.0,0.020111488,6.5419636,6.505920567121357,5.955446218014404,0.6127239243672008,6.3795476843756855,0.3654350208482629,2.5266932270735754
7899.25,8.3793,6.7418,5.7921,5.7143,5.637,4.0276,6.4502,5.5819,2.78,0.58,AkerBP,2.0,0.020256203,6.531357,6.495159913599491,5.942955172153777,0.6970313106491518,6.46832032379256,0.3648564932034025,2.5196612498062567
7899.5,8.3798,6.752,5.8642,5.7731,5.7475,4.2217,6.4235,5.5741,2.78,0.58,AkerBP,2.0,0.020056454,6.512689,6.477023243010044,5.932839633077323,0.8332411148134864,6.4358305928728194,0.36383189343215117,2.507966266956304
7899.75,8.377,6.6653,5.8251,5.6705,5.6618,4.3079,6.3389,5.556,2.78,0.58,AkerBP,2.0,0.01929565,6.4535074,6.4197233430109915,5.903681286970857,1.2750373568125652,6.257762544471859,0.3605004259926146,2.470924003555595
7900.0,8.3783,6.5328,5.6865,5.6409,5.5513,4.3941,6.1674,5.5186,2.78,0.58,AkerBP,2.0,0.017873589,6.3358808,6.305559511631727,5.841554217643433,2.2401581157655923,5.852104114149118,0.3534292306526068,2.3959617591993885
7900.25,8.3887,6.4576,5.5258,5.5362,5.5247,4.4106,5.9603,5.4714,2.78,0.58,AkerBP,2.0,0.016371947,6.202209,6.1754471584782005,5.765190063387985,3.6096699575222777,5.369559224110558,0.3442768047365979,2.305690238605327
7900.5,8.3864,6.2896,5.5412,5.4596,5.4624,4.4272,5.8085,5.4353,2.78,0.58,AkerBP,2.0,0.0154080335,6.1155844,6.091013993918896,5.713879908041438,4.863802942565127,5.12538237156069,0.3370993449384717,2.2397147602892304
7900.75,8.3951,6.204,5.5636,5.6177,5.6943,4.4251,5.7394,5.4183,2.78,0.58,AkerBP,2.0,0.015006412,6.080926,6.05723506309092,5.693380853897633,5.53777508260307,5.076884888205389,0.33369044510028656,2.2097406046068824
7901.0,8.3848,6.1107,5.5266,5.544,5.8069,4.4231,5.7198,5.4134,2.78,0.58,AkerBP,2.0,0.014896687,6.071735,6.048279956327751,5.687986380071518,5.742857378365518,5.072346031542424,0.33270668215028726,2.2012454651668087
7901.25,8.3825,6.0325,5.4432,5.4845,5.8441,3.9858,5.7159,5.4121,2.78,0.58,AkerBP,2.0,0.0148802465,6.069852,6.046435963008553,5.686735963753397,5.7827457269817915,5.074480585233035,0.3325111017150035,2.19955600291276
7901.5,8.3814,5.9277,5.3922,5.4982,5.7354,3.5485,5.7137,5.4103,2.78,0.58,AkerBP,2.0,0.014888033,6.0685115,6.045093369185924,5.68538302540583,5.799978458545669,5.084432016816624,0.3324042052055623,2.1986047721766036
7901.75,8.3803,6.0018,5.3459,5.4451,5.6833,3.6408,5.7098,5.4068,2.78,0.58,AkerBP,2.0,0.014906913,6.0660486,6.042618502834812,5.682788737935502,5.828899485705482,5.10447469733489,0.3322155138699033,2.1969190983116174
7902.0,8.3792,6.0045,5.4237,5.3794,5.7512,3.7332,5.7049,5.4023,2.78,0.58,AkerBP,2.0,0.0149323335,6.0629244,6.039477473981679,5.679464510632265,5.864738627875655,5.1304909137268275,0.33197837478098263,2.194801536828057
7902.25,8.3781,6.0976,5.5137,5.4135,5.9638,3.7692,5.701,5.3987,2.78,0.58,AkerBP,2.0,0.014952899,6.060432,6.036970959380269,5.676806535036999,5.893193463958413,5.151361161705576,0.3317893674138522,2.193116295273346
7902.5,8.377,6.026,5.5974,5.4036,6.0959,3.8051,5.6985,5.3965,2.78,0.58,AkerBP,2.0,0.014964379,6.0588636,6.035396212590858,5.675168309495942,5.912015663610742,5.163871203482671,0.3316676944814936,2.1920358986489465
7902.75,8.3759,6.1671,5.7521,5.3127,6.2535,4.1204,5.6921,5.3904,2.78,0.58,AkerBP,2.0,0.015001469,6.054716,6.0312209407053885,5.670679843534166,5.957747416689598,5.199611226145857,0.3313572440695526,2.1892710739233388
7903.0,8.3748,6.4071,5.8457,5.4391,6.4127,4.4357,5.6583,5.3584,2.78,0.58,AkerBP,2.0,0.015196319,6.0328193,6.0091829153709115,5.647042602350795,6.20120734798282,5.386731157636521,0.3297039402380942,2.1746743780339974
7903.25,8.3737,6.4887,5.8352,5.5817,6.5588,3.9488,5.5437,5.2499,2.78,0.58,AkerBP,2.0,0.01589132,5.957763,5.933632334750146,5.565876054938186,7.033792137924956,6.01870616465429,0.3239303982192315,2.125253127189956
