DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q,Rv_sim_q,Rh_sim_q
9953.25,12.5407,2.3649,2.1033,2.0265,2.1303,74.8583,3.3961,1.4214,2.813,0.775,Chevron,1.0,0.7218829,3.8280783,3.3885675105452537,1.414812574614858,0.2217982231013922,0.4634462772718375,0.259037068586769,1.228311849333437,1.6388048225062917,0.9374781967480673
9953.5,12.5771,2.1917,2.0038,1.9608,1.9734,77.1324,3.2765,1.3902,2.813,0.775,Chevron,1.0,0.72330916,3.6373453,3.27981217238307,1.397973349249009,0.1010887344138637,0.5591533052085206,0.2231734818625583,1.178969516588837,1.5436417890412655,0.946868754844601
9953.75,12.5826,2.0822,1.8685,1.8276,1.7874,77.3259,3.216,1.3561,2.813,0.775,Chevron,1.0,0.73120886,3.5584736,3.232111876130104,1.3833493093141902,0.5009911731997514,2.0093879001688757,0.2054274727350281,1.154549871877465,1.495241090354761,0.9532774988298438
9954.0,12.588,1.9741,1.7597,1.7175,1.6356,77.5193,3.1917,1.3127,2.813,0.775,Chevron,1.0,0.7465154,3.5597823,3.2269536318182945,1.3683783278691422,1.1045408972740092,4.241511988203106,0.2027001198257124,1.1450791163407232,1.4831668793182669,0.9578322035087283
9954.25,12.528,1.8796,1.6898,1.641,1.5335,79.4621,3.1883,1.2581,2.813,0.775,Chevron,1.0,0.768452,3.622628,3.252632079035044,1.352148775293496,2.017754886147592,7.475461035966615,0.2116567497765378,1.1442716181218149,1.4974692436900128,0.9620531405361711
9954.5,12.468,1.8336,1.649,1.5878,1.4652,81.4049,3.1964,1.1955,2.813,0.775,Chevron,1.0,0.794422,3.7329726,3.3002301349043845,1.3354263980101624,3.248346105130284,11.7044247603649,0.2299920337453946,1.148431597969841,1.531269070061079,0.9672504873420381
9954.75,12.5171,1.835,1.6342,1.5564,1.4298,82.9591,3.211,1.1319,2.813,0.775,Chevron,1.0,0.8207281,3.874047,3.3605524832904337,1.3198544664538006,4.657504929630452,16.605218345595958,0.2561444107156299,1.155659944843187,1.5801783366267386,0.9741719535742157
9955.0,12.5662,1.8487,1.6169,1.5271,1.402,84.5134,3.2304,1.0751,2.813,0.775,Chevron,1.0,0.8440495,4.0267553,3.4247615869939327,1.3069538205413929,6.01664149931689,21.565791139558456,0.2882740585850503,1.1653248747331653,1.640306870323467,0.9827197659356905
9955.25,12.5498,1.8864,1.6087,1.5063,1.3866,86.027,3.2559,1.0308,2.813,0.775,Chevron,1.0,0.8625769,4.177725,3.4878159725666045,1.2975973619882657,7.122945193851299,25.882553549501896,0.3236177990246127,1.1779156289566446,1.7070580343332384,0.9917909193520186
9955.5,12.5334,1.9863,1.6434,1.5138,1.3996,87.5406,3.2927,1.002,2.813,0.775,Chevron,1.0,0.8759839,4.32735,3.5513322908878324,1.2921811349780197,7.8547177358348,28.960193111578786,0.3589691375959591,1.1954743142594677,1.7761161147090587,0.9994006518951374
9955.75,12.4898,2.1216,1.7042,1.5419,1.4347,89.3796,3.3494,0.9893,2.813,0.775,Chevron,1.0,0.8849124,4.490504,3.623155894994736,1.2908106902705434,8.173281632374026,30.47717479738638,0.3918606134329916,1.221548582859814,1.8451757114291711,1.0034695778645106
9956.0,12.4462,2.2741,1.7839,1.5949,1.5008,91.2186,3.4366,0.9924,2.813,0.775,Chevron,1.0,0.89012426,4.6898184,3.714371776342392,1.293609564357677,8.082749704428567,30.351628814759884,0.4211412261832155,1.2607177341849864,1.9144477909927815,1.002558213179231
9956.25,12.4898,2.4154,1.867,1.6552,1.5771,90.1284,3.5641,1.0101,2.813,0.775,Chevron,1.0,0.8922232,4.9478383,3.835979464650154,1.3006129130431912,7.62827823714694,28.76080715208308,0.447170948419514,1.3174785597878371,1.9862323005892275,0.996606193891133
9956.5,12.5334,2.4956,1.9394,1.7099,1.6517,89.0382,3.7362,1.0401,2.813,0.775,Chevron,1.0,0.8915436,5.2755895,3.99389519828558,1.311534190708075,6.897253848444396,26.096932093844348,0.4706428930732814,1.3941329002610028,2.0619126169686606,0.9869846274141558
9956.75,12.5625,2.5613,1.9971,1.7621,1.7148,88.1021,3.9477,1.0791,2.813,0.775,Chevron,1.0,0.8883029,5.6637053,4.184773681640625,1.325599173811894,6.005362151141791,22.84303343637235,0.4915839906020061,1.488796491196017,2.139753736423058,0.9757965550310689
9957.0,12.5916,2.6285,2.0263,1.8115,1.7512,87.1659,4.1809,1.1221,2.813,0.775,Chevron,1.0,0.8831571,6.079938,4.39373526853323,1.3412521919708158,5.090656761300904,19.53054023445465,0.5095710586041327,1.593853787028941,2.215095413365823,0.9652111256306173
9957.25,12.6134,2.7055,2.0736,1.8707,1.7988,81.9062,4.409,1.1633,2.813,0.775,Chevron,1.0,0.87723637,6.4779286,4.597495304763317,1.3564572564351658,4.2752393913204205,16.60425139131486,0.5241071341447205,1.6972803418667783,2.2820369743999085,0.9566528102586562
9957.5,12.6352,2.7984,2.1639,1.9478,1.8764,76.6464,4.6051,1.1977,2.813,0.775,Chevron,1.0,0.8717685,6.814191,4.772506502151489,1.3693357632136856,3.635241409556557,14.330446957809595,0.5349925047016996,1.78669627018296,2.335761073182475,0.950573986151809
9957.75,12.6171,2.8842,2.29,2.0696,1.9793,75.6016,4.755,1.2229,2.813,0.775,Chevron,1.0,0.86757046,7.068974,4.906494422376156,1.378922642436036,3.186002573631038,12.758413806201307,0.5426456273379645,1.8553730745227084,2.3750251382540597,0.9466905524985656
9958.0,12.5989,2.956,2.4479,2.2424,2.1046,74.5567,4.864,1.2395,2.813,0.775,Chevron,1.0,0.8648649,7.256016,5.004698017179966,1.3854210096383044,2.8926401558381234,11.772570362106038,0.5481604945577917,1.905582932067208,2.4029931207954283,0.9444173990421421
9958.25,12.5989,3.0426,2.5441,2.3437,2.1691,71.6947,4.9541,1.2504,2.813,0.775,Chevron,1.0,0.8633619,7.4162474,5.087306083619595,1.3899739287800463,2.688804901386615,11.162342352850798,0.5530573184833045,1.9474134089821529,2.4261324079255884,0.9431281511324716
9958.5,12.5989,3.1467,2.574,2.3646,2.1704,68.8327,5.0564,1.2598,2.813,0.775,Chevron,1.0,0.86241853,7.6040535,5.182425268292427,1.3942550470048305,2.492391193189359,10.67272956063107,0.5588973734875775,1.9952519346783328,2.4522891805611606,0.9422340565436458
9958.75,12.5661,3.2569,2.585,2.3807,2.1679,68.5564,5.2019,1.2725,2.813,0.775,Chevron,1.0,0.8610769,7.869616,5.317257978856564,1.4001103910645298,2.217612388868746,10.028321498194884,0.5666740304009152,2.063469875846363,2.488209132207403,0.941190986718142
9959.0,12.5334,3.3684,2.5942,2.4079,2.1742,68.28,5.4107,1.294,2.813,0.775,Chevron,1.0,0.85785294,8.235607,5.507527057468892,1.4094639674642249,1.7895477012011607,8.923026851949368,0.5760439469535539,2.1612655494337263,2.5366932347035283,0.9394435314479559
9959.25,12.5388,3.4648,2.6312,2.4472,2.2055,65.2666,5.6768,1.3303,2.813,0.775,Chevron,1.0,0.85068214,8.668379,5.744224704146385,1.424232062601002,1.1877237906282532,7.060968398181,0.5850166415865247,2.2853776439512017,2.5940455027128393,0.9364421455297351
9959.5,12.5443,3.5528,2.6836,2.4916,2.2494,62.2532,5.9493,1.3879,2.813,0.775,Chevron,1.0,0.8369889,9.048841,5.978715815186501,1.4463946356635795,0.4944416181147482,4.214614573353975,0.5902652133828779,2.4110095450358573,2.648290526713147,0.9315757787322894
9959.75,12.5171,3.6463,2.7453,2.5397,2.3033,61.9214,6.1292,1.473,2.813,0.775,Chevron,1.0,0.8140841,9.178599,6.119771247535944,1.4779161773728045,0.1538333300276735,0.3337527069113621,0.5880426731190123,2.4904555516346667,2.6801254512511146,0.9241791861186185
9960.0,12.4898,3.7429,2.8091,2.5887,2.3599,61.5895,6.1157,1.589,2.813,0.775,Chevron,1.0,0.7789297,8.866976,6.0676307509839535,1.5214401054765985,0.7859974985046161,4.251724010283291,0.5753184409113061,2.4759472752436857,2.6698599233553963,0.9138692358660815
9960.25,12.5153,3.8636,2.8708,2.631,2.4598,61.2484,5.8882,1.7344,2.813,0.775,Chevron,1.0,0.7258013,8.079985,5.788832672178746,1.5842355539726427,1.6875671312328822,8.658005421319029,0.5508527258400259,2.3594163541549014,2.6092741418651313,0.9011414307419162
9960.5,12.5407,3.9912,2.9318,2.6713,2.5724,60.9073,5.5296,1.8993,2.813,0.775,Chevron,1.0,0.6502586,7.0471044,5.370188651233912,1.6757889254709597,2.882873060729319,11.768076371770668,0.5165260847824656,2.182943982946425,2.5083843506287424,0.8879632009475286
9960.75,12.5316,4.1778,3.0067,2.7187,2.6533,60.9559,5.1562,2.0655,2.813,0.775,Chevron,1.0,0.5645396,6.163422,4.984577378094197,1.7883959243467256,3.3284710039525907,13.415835180502278,0.4775962994761244,2.00333830912162,2.390029736512716,0.8770198801646798
